Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:30:29,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:30:29,BDNA_TMP,TEMPORARY,3.43,3.42,3.43,99.57
2016-02-12 10:30:29,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:30:48,BDNA,PERMANENT,8,6.26,1.74,78.25
2016-02-12 10:30:48,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:30:48,SYSAUX,PERMANENT,5.47,4.15,1.32,75.9
2016-02-12 10:30:48,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:30:48,UNDOTBS1,UNDO,6.1,1.74,4.36,28.46
2016-02-12 10:30:48,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:31:51,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:31:51,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:31:51,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:32:17,BDNA,PERMANENT,8,6.26,1.74,78.25
2016-02-12 10:32:17,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:32:17,SYSAUX,PERMANENT,5.47,4.15,1.32,75.9
2016-02-12 10:32:17,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:32:17,UNDOTBS1,UNDO,6.1,1.6,4.5,26.28
2016-02-12 10:32:17,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:33:19,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:33:19,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:33:19,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:34:03,BDNA,PERMANENT,8,6.75,1.25,84.38
2016-02-12 10:34:03,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:34:03,SYSAUX,PERMANENT,5.47,4.15,1.32,75.9
2016-02-12 10:34:03,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:34:03,UNDOTBS1,UNDO,6.1,1.52,4.58,24.95
2016-02-12 10:34:03,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:35:04,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:35:04,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:35:04,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:35:44,BDNA,PERMANENT,8,7.53,.47,94.16
2016-02-12 10:35:44,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:35:44,SYSAUX,PERMANENT,5.47,4.15,1.32,75.9
2016-02-12 10:35:44,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:35:44,UNDOTBS1,UNDO,6.1,1.52,4.58,24.95
2016-02-12 10:35:44,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:36:45,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:36:45,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:36:45,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:37:28,BDNA,PERMANENT,8.39,8.26,.13,98.5
2016-02-12 10:37:28,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:37:28,SYSAUX,PERMANENT,5.47,4.15,1.32,75.9
2016-02-12 10:37:28,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:37:28,UNDOTBS1,UNDO,6.1,1.52,4.58,24.95
2016-02-12 10:37:28,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:38:29,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:38:29,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:38:29,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:39:12,BDNA,PERMANENT,9.37,9.09,.27,97.07
2016-02-12 10:39:12,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:39:12,SYSAUX,PERMANENT,5.47,4.15,1.32,75.91
2016-02-12 10:39:12,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:39:12,UNDOTBS1,UNDO,6.1,1.52,4.58,24.95
2016-02-12 10:39:12,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:40:14,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:40:14,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:40:14,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:40:53,BDNA,PERMANENT,10.34,9.85,.49,95.23
2016-02-12 10:40:53,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:40:53,SYSAUX,PERMANENT,5.47,4.15,1.32,75.91
2016-02-12 10:40:53,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:40:53,UNDOTBS1,UNDO,6.1,1.52,4.58,24.95
2016-02-12 10:40:53,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:41:56,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:41:56,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:41:56,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:42:23,BDNA,PERMANENT,11.13,10.6,.52,95.3
2016-02-12 10:42:23,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:42:23,SYSAUX,PERMANENT,5.47,4.15,1.32,75.91
2016-02-12 10:42:23,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:42:23,UNDOTBS1,UNDO,6.1,1.35,4.75,22.09
2016-02-12 10:42:23,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:43:24,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:43:24,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:43:24,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:43:46,BDNA,PERMANENT,11.52,11.16,.35,96.95
2016-02-12 10:43:46,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:43:46,SYSAUX,PERMANENT,5.47,4.15,1.32,75.91
2016-02-12 10:43:46,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:43:46,UNDOTBS1,UNDO,6.1,1.35,4.75,22.09
2016-02-12 10:43:46,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:44:48,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:44:48,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:44:48,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:45:10,BDNA,PERMANENT,12,11.66,.34,97.17
2016-02-12 10:45:10,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:45:10,SYSAUX,PERMANENT,5.47,4.15,1.32,75.91
2016-02-12 10:45:10,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:45:10,UNDOTBS1,UNDO,6.1,1.35,4.75,22.09
2016-02-12 10:45:10,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:46:12,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:46:12,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:46:12,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:46:33,BDNA,PERMANENT,12.79,12.16,.62,95.14
2016-02-12 10:46:33,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:46:33,SYSAUX,PERMANENT,5.47,4.15,1.32,75.91
2016-02-12 10:46:33,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:46:33,UNDOTBS1,UNDO,6.1,1.35,4.75,22.09
2016-02-12 10:46:33,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:47:34,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:47:34,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:47:34,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:47:56,BDNA,PERMANENT,13.27,12.66,.61,95.41
2016-02-12 10:47:56,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:47:56,SYSAUX,PERMANENT,5.47,4.15,1.32,75.91
2016-02-12 10:47:56,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:47:56,UNDOTBS1,UNDO,6.1,1.35,4.75,22.09
2016-02-12 10:47:56,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:48:58,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:48:58,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:48:58,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:49:21,BDNA,PERMANENT,13.76,13.16,.6,95.66
2016-02-12 10:49:21,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:49:21,SYSAUX,PERMANENT,5.47,4.15,1.32,75.91
2016-02-12 10:49:21,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:49:21,UNDOTBS1,UNDO,6.1,1.35,4.75,22.09
2016-02-12 10:49:21,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:50:22,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:50:22,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:50:22,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:50:43,BDNA,PERMANENT,14.35,13.73,.62,95.67
2016-02-12 10:50:43,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:50:43,SYSAUX,PERMANENT,5.47,4.15,1.32,75.91
2016-02-12 10:50:43,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:50:43,UNDOTBS1,UNDO,6.1,1.35,4.75,22.09
2016-02-12 10:50:43,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:51:48,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:51:48,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:51:48,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:52:09,BDNA,PERMANENT,14.93,14.23,.71,95.27
2016-02-12 10:52:09,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:52:09,SYSAUX,PERMANENT,5.47,4.15,1.32,75.91
2016-02-12 10:52:09,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:52:09,UNDOTBS1,UNDO,6.1,1.35,4.75,22.09
2016-02-12 10:52:09,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:53:10,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:53:10,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:53:10,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 10:53:32,BDNA,PERMANENT,14.93,14.66,.27,98.2
2016-02-12 10:53:32,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 10:53:32,SYSAUX,PERMANENT,5.47,4.15,1.32,75.91
2016-02-12 10:53:32,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 10:53:32,UNDOTBS1,UNDO,6.1,1.35,4.75,22.09
2016-02-12 10:53:32,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 10:54:33,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 10:54:33,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 10:54:33,TEMP,TEMPORARY,.19,.19,.19,100
