Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 12:52:58,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.02,1.02,99.33
2016-02-11 12:52:58,BDNA_TMP,TEMPORARY,5.01,5.01,5.01,99.88
2016-02-11 12:52:58,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 12:53:44,BDNA,PERMANENT,26.27,18.24,8.03,69.43
2016-02-11 12:53:44,BDNA_PUBLISH,PERMANENT,12.89,11.23,1.66,87.14
2016-02-11 12:53:44,SYSAUX,PERMANENT,3.99,3.54,.45,88.62
2016-02-11 12:53:44,SYSTEM,PERMANENT,.91,.9,.01,98.95
2016-02-11 12:53:44,UNDOTBS1,UNDO,15.75,.08,15.67,.51
2016-02-11 12:53:44,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 19:08:02,BDNA_PUBLISH_TMP,TEMPORARY,9.95,.01,9.95,.08
2016-02-11 19:08:02,BDNA_TMP,TEMPORARY,1.95,0,1.95,.05
2016-02-11 19:08:02,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 19:08:26,BDNA,PERMANENT,7.71,6.35,1.36,82.38
2016-02-11 19:08:26,BDNA_PUBLISH,PERMANENT,15.62,10.51,5.11,67.26
2016-02-11 19:08:26,SYSAUX,PERMANENT,5.47,4.06,1.41,74.2
2016-02-11 19:08:26,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 19:08:26,UNDOTBS1,UNDO,6.1,.18,5.91,3.03
2016-02-11 19:08:26,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 19:09:28,BDNA_PUBLISH_TMP,TEMPORARY,9.95,.01,9.95,.08
2016-02-11 19:09:28,BDNA_TMP,TEMPORARY,1.95,0,1.95,.2
2016-02-11 19:09:28,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 19:10:02,BDNA,PERMANENT,7.71,6.35,1.36,82.39
2016-02-11 19:10:02,BDNA_PUBLISH,PERMANENT,15.62,10.51,5.11,67.26
2016-02-11 19:10:02,SYSAUX,PERMANENT,5.47,4.06,1.41,74.2
2016-02-11 19:10:02,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 19:10:02,UNDOTBS1,UNDO,6.1,.18,5.91,3.03
2016-02-11 19:10:02,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 19:11:05,BDNA_PUBLISH_TMP,TEMPORARY,9.95,.01,9.95,.08
2016-02-11 19:11:05,BDNA_TMP,TEMPORARY,1.95,.01,1.95,.4
2016-02-11 19:11:05,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 19:12:12,BDNA,PERMANENT,7.71,6.83,.88,88.54
2016-02-11 19:12:12,BDNA_PUBLISH,PERMANENT,15.62,10.51,5.11,67.26
2016-02-11 19:12:12,SYSAUX,PERMANENT,5.47,4.06,1.41,74.2
2016-02-11 19:12:12,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 19:12:13,UNDOTBS1,UNDO,6.1,.19,5.91,3.11
2016-02-11 19:12:13,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 19:13:14,BDNA_PUBLISH_TMP,TEMPORARY,9.95,.01,9.95,.08
2016-02-11 19:13:14,BDNA_TMP,TEMPORARY,1.95,.01,1.94,.45
2016-02-11 19:13:14,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 19:14:11,BDNA,PERMANENT,9.66,7.72,1.94,79.88
2016-02-11 19:14:11,BDNA_PUBLISH,PERMANENT,15.62,10.51,5.11,67.26
2016-02-11 19:14:11,SYSAUX,PERMANENT,5.47,4.06,1.41,74.3
2016-02-11 19:14:11,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 19:14:11,UNDOTBS1,UNDO,6.1,.19,5.91,3.11
2016-02-11 19:14:11,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 19:15:12,BDNA_PUBLISH_TMP,TEMPORARY,9.95,.01,9.95,.08
2016-02-11 19:15:12,BDNA_TMP,TEMPORARY,1.95,.01,1.94,.45
2016-02-11 19:15:12,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 19:16:07,BDNA,PERMANENT,9.66,8.56,1.1,88.61
2016-02-11 19:16:07,BDNA_PUBLISH,PERMANENT,15.62,10.51,5.11,67.26
2016-02-11 19:16:07,SYSAUX,PERMANENT,5.47,4.06,1.41,74.3
2016-02-11 19:16:07,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 19:16:07,UNDOTBS1,UNDO,6.1,.19,5.91,3.11
2016-02-11 19:16:07,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 19:17:08,BDNA_PUBLISH_TMP,TEMPORARY,9.95,.01,9.95,.08
2016-02-11 19:17:08,BDNA_TMP,TEMPORARY,1.95,.01,1.95,.45
2016-02-11 19:17:08,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 19:17:57,BDNA,PERMANENT,9.66,9.31,.35,96.37
2016-02-11 19:17:57,BDNA_PUBLISH,PERMANENT,15.62,10.51,5.11,67.26
2016-02-11 19:17:57,SYSAUX,PERMANENT,5.47,4.06,1.41,74.3
2016-02-11 19:17:57,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 19:17:57,UNDOTBS1,UNDO,6.1,.19,5.91,3.11
2016-02-11 19:17:57,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 19:18:58,BDNA_PUBLISH_TMP,TEMPORARY,9.95,.01,9.95,.08
2016-02-11 19:18:58,BDNA_TMP,TEMPORARY,1.95,.01,1.95,.45
2016-02-11 19:18:58,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 19:19:53,BDNA,PERMANENT,11.62,10.06,1.55,86.62
2016-02-11 19:19:53,BDNA_PUBLISH,PERMANENT,15.62,10.51,5.11,67.26
2016-02-11 19:19:53,SYSAUX,PERMANENT,5.47,4.06,1.41,74.3
2016-02-11 19:19:53,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 19:19:53,UNDOTBS1,UNDO,6.1,.19,5.91,3.11
2016-02-11 19:19:53,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 19:20:56,BDNA_PUBLISH_TMP,TEMPORARY,9.95,.01,9.95,.08
2016-02-11 19:20:56,BDNA_TMP,TEMPORARY,1.95,.01,1.95,.45
2016-02-11 19:20:56,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 19:21:25,BDNA,PERMANENT,11.62,10.86,.76,93.48
2016-02-11 19:21:25,BDNA_PUBLISH,PERMANENT,15.62,10.51,5.11,67.26
2016-02-11 19:21:25,SYSAUX,PERMANENT,5.47,4.06,1.41,74.3
2016-02-11 19:21:25,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 19:21:25,UNDOTBS1,UNDO,6.1,.19,5.91,3.11
2016-02-11 19:21:25,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 19:22:27,BDNA_PUBLISH_TMP,TEMPORARY,9.95,.01,9.95,.08
2016-02-11 19:22:27,BDNA_TMP,TEMPORARY,1.95,.01,1.95,.45
2016-02-11 19:22:27,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 19:22:58,BDNA,PERMANENT,11.62,11.42,.19,98.32
2016-02-11 19:22:58,BDNA_PUBLISH,PERMANENT,15.62,10.51,5.11,67.26
2016-02-11 19:22:58,SYSAUX,PERMANENT,5.47,4.06,1.41,74.3
2016-02-11 19:22:58,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 19:22:58,UNDOTBS1,UNDO,6.1,.19,5.91,3.11
2016-02-11 19:22:58,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 19:23:59,BDNA_PUBLISH_TMP,TEMPORARY,9.95,.01,9.95,.08
2016-02-11 19:23:59,BDNA_TMP,TEMPORARY,1.95,.01,1.95,.45
2016-02-11 19:23:59,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 19:24:31,BDNA,PERMANENT,13.57,11.92,1.65,87.86
2016-02-11 19:24:31,BDNA_PUBLISH,PERMANENT,15.62,10.51,5.11,67.26
2016-02-11 19:24:31,SYSAUX,PERMANENT,5.47,4.06,1.4,74.32
2016-02-11 19:24:31,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 19:24:31,UNDOTBS1,UNDO,6.1,.19,5.91,3.11
2016-02-11 19:24:31,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 19:25:31,BDNA_PUBLISH_TMP,TEMPORARY,9.95,.01,9.95,.08
2016-02-11 19:25:31,BDNA_TMP,TEMPORARY,1.95,.01,1.95,.45
2016-02-11 19:25:31,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 19:26:02,BDNA,PERMANENT,13.57,12.49,1.09,92
2016-02-11 19:26:02,BDNA_PUBLISH,PERMANENT,15.62,10.51,5.11,67.26
2016-02-11 19:26:02,SYSAUX,PERMANENT,5.47,4.06,1.4,74.32
2016-02-11 19:26:02,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 19:26:02,UNDOTBS1,UNDO,6.1,.19,5.91,3.11
2016-02-11 19:26:02,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 19:27:03,BDNA_PUBLISH_TMP,TEMPORARY,9.95,.01,9.95,.08
2016-02-11 19:27:03,BDNA_TMP,TEMPORARY,1.95,.01,1.95,.45
2016-02-11 19:27:03,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 19:27:34,BDNA,PERMANENT,13.57,12.99,.59,95.69
2016-02-11 19:27:34,BDNA_PUBLISH,PERMANENT,15.62,10.51,5.11,67.26
2016-02-11 19:27:34,SYSAUX,PERMANENT,5.47,4.06,1.4,74.32
2016-02-11 19:27:34,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 19:27:34,UNDOTBS1,UNDO,6.1,.19,5.91,3.11
2016-02-11 19:27:34,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 19:28:35,BDNA_PUBLISH_TMP,TEMPORARY,9.95,.01,9.95,.08
2016-02-11 19:28:35,BDNA_TMP,TEMPORARY,1.95,.01,1.95,.45
2016-02-11 19:28:35,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 19:29:09,BDNA,PERMANENT,13.57,13.55,.02,99.83
2016-02-11 19:29:09,BDNA_PUBLISH,PERMANENT,15.62,10.51,5.11,67.26
2016-02-11 19:29:09,SYSAUX,PERMANENT,5.47,4.06,1.4,74.32
2016-02-11 19:29:09,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 19:29:09,UNDOTBS1,UNDO,6.1,.19,5.91,3.11
2016-02-11 19:29:09,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 19:30:10,BDNA_PUBLISH_TMP,TEMPORARY,9.95,.01,9.95,.08
2016-02-11 19:30:10,BDNA_TMP,TEMPORARY,1.95,.01,1.95,.45
2016-02-11 19:30:10,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 19:30:40,BDNA,PERMANENT,15.52,14.11,1.41,90.9
2016-02-11 19:30:40,BDNA_PUBLISH,PERMANENT,15.62,10.51,5.11,67.26
2016-02-11 19:30:40,SYSAUX,PERMANENT,5.47,4.06,1.4,74.32
2016-02-11 19:30:40,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 19:30:40,UNDOTBS1,UNDO,6.1,.19,5.91,3.11
2016-02-11 19:30:40,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 19:31:41,BDNA_PUBLISH_TMP,TEMPORARY,9.95,.01,9.95,.08
2016-02-11 19:31:41,BDNA_TMP,TEMPORARY,1.95,.01,1.95,.45
2016-02-11 19:31:41,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 19:32:18,BDNA,PERMANENT,15.52,14.61,.91,94.12
2016-02-11 19:32:18,BDNA_PUBLISH,PERMANENT,15.62,10.51,5.11,67.26
2016-02-11 19:32:18,SYSAUX,PERMANENT,5.47,4.06,1.4,74.32
2016-02-11 19:32:18,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 19:32:18,UNDOTBS1,UNDO,6.1,.19,5.91,3.11
2016-02-11 19:32:18,USERS,PERMANENT,0,0,0,33.75
