Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 20:37:58,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 20:37:58,BDNA_TMP,TEMPORARY,3.43,3.42,3.43,99.57
2016-02-17 20:37:58,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 20:38:09,BDNA,PERMANENT,8,6,2,75.02
2016-02-17 20:38:09,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 20:38:09,SYSAUX,PERMANENT,5.47,4.04,1.43,73.82
2016-02-17 20:38:09,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 20:38:09,UNDOTBS1,UNDO,13.1,2.72,10.38,20.76
2016-02-17 20:38:09,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 20:39:10,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 20:39:10,BDNA_TMP,TEMPORARY,3.43,3.42,3.43,99.57
2016-02-17 20:39:10,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 20:39:21,BDNA,PERMANENT,8,6,2,75.02
2016-02-17 20:39:21,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 20:39:21,SYSAUX,PERMANENT,5.47,4.04,1.43,73.82
2016-02-17 20:39:21,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 20:39:21,UNDOTBS1,UNDO,13.1,2.72,10.38,20.76
2016-02-17 20:39:21,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 20:40:20,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 20:40:20,BDNA_TMP,TEMPORARY,3.43,3.42,3.43,99.57
2016-02-17 20:40:20,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 20:40:32,BDNA,PERMANENT,8,6,2,75.02
2016-02-17 20:40:32,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 20:40:32,SYSAUX,PERMANENT,5.47,4.04,1.43,73.82
2016-02-17 20:40:32,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 20:40:32,UNDOTBS1,UNDO,13.1,2.72,10.38,20.76
2016-02-17 20:40:32,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 20:41:31,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 20:41:31,BDNA_TMP,TEMPORARY,3.43,3.42,3.43,99.57
2016-02-17 20:41:31,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 20:41:43,BDNA,PERMANENT,8,6,2,75.02
2016-02-17 20:41:43,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 20:41:43,SYSAUX,PERMANENT,5.47,4.04,1.43,73.82
2016-02-17 20:41:43,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 20:41:43,UNDOTBS1,UNDO,13.1,2.72,10.38,20.76
2016-02-17 20:41:43,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
