Task_ID,HostID_In_ Match_,Rows #,HostID_IN_P,Rows #,DIFFERENCE,Results
16745,8734606,2,8734606,2,0,Passed
16745,9211861,131,9211861,131,0,Passed
16745,1284037,17,1284037,17,0,Passed
16745,9206279,1,9206279,1,0,Passed
16745,6598995,1044,6598995,1044,0,Passed
16745,1091599,2,1091599,2,0,Passed
16745,8720209,1,8720209,1,0,Passed
16745,148499414,1,148499414,1,0,Passed
16745,2542,1721,2542,1721,0,Passed
16745,24250565,1,24250565,1,0,Passed
16745,15706725,1,15706725,1,0,Passed
16745,1278835,2,1278835,2,0,Passed
16745,1141947,2012,1141947,2012,0,Passed
16745,1279927,63,1279927,63,0,Passed
16745,1141944,16,1141944,16,0,Passed
16745,1777019,2,1777019,2,0,Passed
16745,74430108,7,74430108,7,0,Passed
16745,1091581,775,1091581,775,0,Passed
16745,1728098,62,1728098,62,0,Passed
16745,8733767,38,8733767,38,0,Passed
16745,24984780,2,24984780,2,0,Passed
16745,844381,15,844381,15,0,Passed
16745,1204116,2,1204116,2,0,Passed
16745,23924819,48,23924819,48,0,Passed
16745,9,913,9,913,0,Passed
16745,14938385,2,14938385,2,0,Passed
16745,51534046,858,51534046,858,0,Passed
16745,7350755,136,7350755,136,0,Passed
16745,1142809,2,1142809,2,0,Passed
16745,926326,2,926326,2,0,Passed
16745,1026911,1,1026911,1,0,Passed
16745,8686468,2,8686468,2,0,Passed
16745,1529936,132,1529936,132,0,Passed
16745,23337529,9,23337529,9,0,Passed
16745,15080,3,15080,3,0,Passed
16745,8720229,1,8720229,1,0,Passed
16745,85012708,4,85012708,4,0,Passed
16745,7335364,2,7335364,2,0,Passed
16745,9210506,4,9210506,4,0,Passed
16745,926339,7,926339,7,0,Passed
16745,7358051,4,7358051,4,0,Passed
16745,1781787,2,1781787,2,0,Passed
16745,16497906,1,16497906,1,0,Passed
16745,38392420,1,38392420,1,0,Passed
16745,1005,720,1005,720,0,Passed
16745,1004,4,1004,4,0,Passed
16745,1252890,3,1252890,3,0,Passed
16745,1279951,3,1279951,3,0,Passed
16745,7358059,2,7358059,2,0,Passed
16745,102196784,1,102196784,1,0,Passed
16745,10177351,1,10177351,1,0,Passed
16745,16285255,33,16285255,33,0,Passed
16745,8675749,290,8675749,290,0,Passed
16745,8723754,1,8723754,1,0,Passed
16745,23921762,11,23921762,11,0,Passed
16745,925012,2,925012,2,0,Passed
16745,250077805,1,250077805,1,0,Passed
