API_Url	Response time with 1 users (Seconds)	Status Code with 1 users	No of records per user	Data Transferred per User	Timestamp
http://vm195w/bdna-api/odata/MATCH_HOST_HW_IBM_PVU?$count=true&$top=10	4.83200001717	200	10	0.0064794921875MB	2017-06-14 18:34:15.300000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$top=10	8.43099999428	200	10	0.0043876953125MB	2017-06-14 18:34:23.732000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'Q5987A%23ABA'&$top=10	5.36100006104	200	0	0.0001279296875MB	2017-06-14 18:34:36.683000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'Q2473A%23ABA'&$top=10	2.88400006294	200	0	0.0001279296875MB	2017-06-14 18:34:39.568000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'WS-C3750X-12S-E'&$top=10	2.64199995995	200	0	0.0001279296875MB	2017-06-14 18:34:42.211000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'N5K-C5596UP-FA'&$top=10	2.9960000515	200	0	0.0001279296875MB	2017-06-14 18:34:45.207000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'Q7545A%23ABA'&$top=10	2.8259999752	200	0	0.0001279296875MB	2017-06-14 18:34:48.034000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq '920-002912'&$top=10	2.73500013351	200	0	0.0001279296875MB	2017-06-14 18:34:50.769000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'WS-C3750G-24PS-S'&$top=10	3.02900004387	200	0	0.0001279296875MB	2017-06-14 18:34:53.799000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'CP-7925G-A-K9'&$top=10	2.73399996758	200	0	0.0001279296875MB	2017-06-14 18:34:56.534000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'WS-C2960-24PC-S'&$top=10	2.85699987411	200	0	0.0001279296875MB	2017-06-14 18:34:59.392000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'CN551A%23B1H'&$top=10	2.79500007629	200	0	0.0001279296875MB	2017-06-14 18:35:02.188000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'F5A54AA%23ABA'&$top=10	2.90900015831	200	0	0.0001279296875MB	2017-06-14 18:35:05.098000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'WS-C2960G-8TC-L'&$top=10	2.87000012398	200	0	0.0001279296875MB	2017-06-14 18:35:07.969000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq '378742-001'&$top=10	2.74000000954	200	0	0.0001279296875MB	2017-06-14 18:35:10.710000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'ME276LL%2FA'&$top=10	2.84200000763	200	0	0.0001279296875MB	2017-06-14 18:35:13.553000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'ASA5550-BUN-K9'&$top=10	2.8140001297	200	0	0.0001279296875MB	2017-06-14 18:35:16.367000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'WS-C2960S-24TS-S'&$top=10	2.79600000381	200	0	0.0001279296875MB	2017-06-14 18:35:19.164000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq '397842-001'&$top=10	2.94600009918	200	0	0.0001279296875MB	2017-06-14 18:35:22.111000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'NEXUS7%20ASUS-2B32'&$top=10	2.76800012589	200	0	0.0001279296875MB	2017-06-14 18:35:24.880000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'AIR-AP1131AG-A-K9'&$top=10	2.77799987793	200	0	0.0001279296875MB	2017-06-14 18:35:27.660000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'PIX-535-FO-BUN'&$top=10	2.75	200	0	0.0001279296875MB	2017-06-14 18:35:30.412000
