Cube,Attribute,Time(second),Error type
Normalize: Assets,INV Date,0.65,No Issue
Normalize: Assets,INV Group,0.56,No Issue
Normalize: Assets,INV ID,0.04,No Issue
Normalize: Assets,INV Name,0.05,No Issue
Normalize: Assets,INV Task ID,0.05,No Issue
Normalize: Assets,INV Task,0.05,No Issue
Normalize: Assets,INV Data Source,0.05,No Issue
Normalize: Assets,INV Status,0.04,No Issue
Normalize: Assets,INV Is Latest?,0.06,No Issue
Normalize: Assets,SYS Domain,0.56,No Issue
Normalize: Assets,SYS Hostname,0.57,No Issue
Normalize: Assets,SYS Serial Number,0.56,No Issue
Normalize: Assets,SYS Is Virtual Machine?,0.04,No Issue
Normalize: Assets,SYS Is Virtual Host?,0.05,No Issue
Normalize: Assets,SYS Is Deduped?,0.03,No Issue
Normalize: Assets,SYS Is Active?,0.04,No Issue
Normalize: Assets,SYS CPU Range (Mhz),0.56,No Issue
Normalize: Assets,SYS CPUs Range,0.03,No Issue
Normalize: Assets,SYS Cores Range,0.03,No Issue
Normalize: Assets,SYS RAM Range (MB),0.04,No Issue
Normalize: Assets,SYS HDD Range (GB),0.07,No Issue
Normalize: Assets,SYS OS Uptime Range,0.04,No Issue
Normalize: Assets,SYS User Domain,0.56,No Issue
Normalize: Assets,SYS User Logon,0.57,No Issue
Normalize: Assets,SYS Full User Logon,0.56,No Issue
Normalize: Assets,CPU Manufacturer,0.58,No Issue
Normalize: Assets,CPU Model,0.05,No Issue
Normalize: Assets,CPU Cores,0.05,No Issue
Normalize: Assets,CPU Clock Rate,0.04,No Issue
Normalize: Assets,CPU ISA Bit Mode,0.04,No Issue
Normalize: Assets,CPU Is Threaded?,0.04,No Issue
Normalize: Assets,CPU Number of threads,0.03,No Issue
Normalize: Assets,HW Vertical,0.58,No Issue
Normalize: Assets,HW Category,0.06,No Issue
Normalize: Assets,HW Subcategory,0.04,No Issue
Normalize: Assets,HW Vendor Category,0.04,No Issue
Normalize: Assets,HW Manufacturer,0.58,No Issue
Normalize: Assets,HW Product,0.05,No Issue
Normalize: Assets,HW Model,0.05,No Issue
Normalize: Assets,HW Supported OS,0.04,No Issue
Normalize: Assets,HW Max CPU sockets,0.03,No Issue
Normalize: Assets,HW Is Supported? (calc.),0.04,No Issue
Normalize: Assets,HW Supported Reason (calc.),0.6,No Issue
Normalize: Assets,HW EOL Year (calc.),0.04,No Issue
Normalize: Assets,HW EOL Quarter (calc.),0.05,No Issue
Normalize: Assets,HW EOL Date (calc.),0.05,No Issue
Normalize: Assets,HW EOL Month (calc.),0.05,No Issue
Normalize: Assets,HW Intro Year,0.04,No Issue
Normalize: Assets,HW Intro Quarter,0.05,No Issue
Normalize: Assets,HW Intro Month,0.05,No Issue
Normalize: Assets,HW Intro Date,0.05,No Issue
Normalize: Assets,HW Intro Exception,0.03,No Issue
Normalize: Assets,HW Intro Range (Start),0.05,No Issue
Normalize: Assets,HW Intro Range (End),0.06,No Issue
Normalize: Assets,HW GA Year,0.04,No Issue
Normalize: Assets,HW GA Quarter,0.04,No Issue
Normalize: Assets,HW GA Month,0.65,No Issue
Normalize: Assets,HW GA Date,0.05,No Issue
Normalize: Assets,HW GA Exception,0.07,No Issue
Normalize: Assets,HW GA Range (Start),0.04,No Issue
Normalize: Assets,HW GA Range (End),0.03,No Issue
Normalize: Assets,HW LastAvail Year,0.05,No Issue
Normalize: Assets,HW LastAvail Quarter,0.6,No Issue
Normalize: Assets,HW LastAvail Month,0.04,No Issue
Normalize: Assets,HW LastAvail Date,0.03,No Issue
Normalize: Assets,HW LastAvail Exception,0.04,No Issue
Normalize: Assets,HW LastAvail Range (Start),0.07,No Issue
Normalize: Assets,HW LastAvail Range (End),0.05,No Issue
Normalize: Assets,HW OBS Year,0.05,No Issue
Normalize: Assets,HW OBS Quarter,0.05,No Issue
Normalize: Assets,HW OBS Month,0.6,No Issue
Normalize: Assets,HW OBS Date,0.03,No Issue
Normalize: Assets,HW OBS Exception,0.03,No Issue
Normalize: Assets,HW OBS Range (Start),0.05,No Issue
Normalize: Assets,HW OBS Range (End),0.57,No Issue
Normalize: Assets,HW Currency Code,0.57,No Issue
Normalize: Assets,HW Minimum price,0.05,No Issue
Normalize: Assets,HW Average price,0.04,No Issue
Normalize: Assets,HW Maximum price,0.06,No Issue
Normalize: Assets,HW Is Energy Star?,0.56,No Issue
Normalize: Assets,HW EPEAT Rating,0.04,No Issue
Normalize: Assets,HW Power Type,0.04,No Issue
Normalize: Assets,HW Power (W),0.07,No Issue
Normalize: Assets,HW Power Rating,0.05,No Issue
Normalize: Assets,HW Connectivity,0.57,No Issue
Normalize: Assets,HW Connectivity Type,0.06,No Issue
Normalize: Assets,HW Connectivity Standard,0.04,No Issue
Normalize: Assets,HW Connectivity Standard Version,0.05,No Issue
Normalize: Assets,SW Vertical,0.57,No Issue
Normalize: Assets,SW Category,0.04,No Issue
Normalize: Assets,SW Subcategory,0.07,No Issue
Normalize: Assets,SW Vendor Category,0.61,No Issue
Normalize: Assets,SW Manufacturer,0.62,No Issue
Normalize: Assets,SW Family,0.57,No Issue
Normalize: Assets,SW Name,0.57,No Issue
Normalize: Assets,SW Component,0.56,No Issue
Normalize: Assets,SW Market Version,0.58,No Issue
Normalize: Assets,SW Version,0.57,No Issue
Normalize: Assets,SW Service Pack,0.56,No Issue
Normalize: Assets,SW Edition,0.06,No Issue
Normalize: Assets,SW Is Licensable?,0.06,No Issue
Normalize: Assets,SW Is Suite?,0.04,No Issue
Normalize: Assets,SW User Domain,0.56,No Issue
Normalize: Assets,SW User Logon,0.58,No Issue
Normalize: Assets,SW Full User Logon,0.57,No Issue
Normalize: Assets,SW Former Product,0.57,No Issue
Normalize: Assets,SW Later Product,0.58,No Issue
Normalize: Assets,SW Oldest Product,0.56,No Issue
Normalize: Assets,SW Latest Product,0.57,No Issue
Normalize: Assets,SW Release Platform,0.56,No Issue
Normalize: Assets,SW Platform Type,2.69,No Issue
Normalize: Assets,SW Is Supported? (calc.),0.04,No Issue
Normalize: Assets,SW Supported Reason (calc.),0.05,No Issue
Normalize: Assets,SW Desupported? (calc.),0.04,No Issue
Normalize: Assets,SW Version Order (calc.),0.59,No Issue
Normalize: Assets,SW Max Versions (calc.),0.59,No Issue
Normalize: Assets,SW Versions (calc.),0.07,No Issue
Normalize: Assets,SW EOL Year (calc.),0.06,No Issue
Normalize: Assets,SW EOL Quarter (calc.),0.04,No Issue
Normalize: Assets,SW EOL Date (calc.),0.58,No Issue
Normalize: Assets,SW EOL Month (calc.),0.56,No Issue
Normalize: Assets,SW GA Year,0.03,No Issue
Normalize: Assets,SW GA Quarter,0.59,No Issue
Normalize: Assets,SW GA Month,0.07,No Issue
Normalize: Assets,SW GA Date,0.55,No Issue
Normalize: Assets,SW GA Exception,0.04,No Issue
Normalize: Assets,SW GA Range (Start),0.05,No Issue
Normalize: Assets,SW GA Range (End),0.05,No Issue
Normalize: Assets,SW EOL Year,0.06,No Issue
Normalize: Assets,SW EOL Quarter,0.06,No Issue
Normalize: Assets,SW EOL Month,0.61,No Issue
Normalize: Assets,SW EOL Date,0.62,No Issue
